epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.13512,1.0727,3.72941,1.21715,0.00604,0.35,0.02534,0.01662,0.66477,3.67906,0.96017,0,0,0
2,1.76422,1.01776,3.6085,1.26772,0.00613,0.35,0.02662,0.01703,0.66293,3.67968,0.96053,9.967e-06,9.967e-06,9.967e-06
3,2.29566,0.93752,3.76498,1.14839,0.00627,0.35,0.02468,0.01621,0.66503,3.67427,0.96556,1.9868e-05,1.9868e-05,1.9868e-05
4,2.6878,1.00885,3.76713,1.22878,0.00631,0.35,0.02928,0.02137,0.66814,3.67455,0.96771,2.9703e-05,2.9703e-05,2.9703e-05
5,3.2362,1.06225,3.74393,1.22252,0.00628,0.35,0.03483,0.02373,0.61575,3.67382,0.94556,3.9472e-05,3.9472e-05,3.9472e-05
6,3.88441,0.89395,3.69501,1.16623,0.00568,0.31667,0.02937,0.02107,0.57663,3.68195,0.93535,4.9175e-05,4.9175e-05,4.9175e-05
7,4.44629,0.84455,3.59278,1.15027,0.00508,0.28889,0.03618,0.02681,0.586,3.68217,0.93483,5.8812e-05,5.8812e-05,5.8812e-05
8,5.06041,0.79109,3.56572,1.10209,0.00608,0.31667,0.04809,0.03459,0.59648,3.68448,0.93428,6.8383e-05,6.8383e-05,6.8383e-05
9,5.70712,0.80413,3.61021,1.11803,0.00596,0.28333,0.05227,0.03834,0.64401,3.68517,0.94476,7.7888e-05,7.7888e-05,7.7888e-05
10,6.21816,0.77339,3.51639,1.0616,0.00616,0.28333,0.08845,0.06334,0.71917,3.71404,0.9811,8.7327e-05,8.7327e-05,8.7327e-05
11,6.87734,0.72361,3.42228,1.02473,0.00676,0.28333,0.12057,0.08257,0.76169,3.72487,0.99469,9.67e-05,9.67e-05,9.67e-05
12,7.4275,0.69765,3.23548,1.03209,0.00695,0.28333,0.16422,0.10222,0.79186,3.71823,1.00962,0.000106007,0.000106007,0.000106007
13,8.03716,0.64514,3.18487,1.01806,0.0071,0.28333,0.19016,0.14531,0.74496,3.68786,0.98256,0.000115248,0.000115248,0.000115248
14,8.70266,0.71006,3.11394,1.02607,0.00801,0.31667,0.24728,0.18803,0.71003,3.63301,0.96606,0.000124423,0.000124423,0.000124423
15,9.23125,0.80918,2.92785,1.09458,0.00906,0.35833,0.27243,0.20707,0.67848,3.59465,0.94705,0.000133532,0.000133532,0.000133532
16,9.78994,0.68372,2.85069,0.99192,0.00917,0.35833,0.27943,0.21637,0.62677,3.54321,0.91756,0.000142575,0.000142575,0.000142575
17,10.3858,0.69743,2.75799,0.98627,0.01039,0.38611,0.28493,0.22674,0.60006,3.4735,0.89147,0.000151552,0.000151552,0.000151552
18,10.9931,0.63605,2.54889,0.99849,0.01039,0.38611,0.28493,0.22674,0.60006,3.4735,0.89147,0.000160463,0.000160463,0.000160463
19,11.5278,0.67894,2.72238,1.00387,0.01134,0.41944,0.31981,0.25597,0.60968,3.3826,0.88272,0.000169308,0.000169308,0.000169308
20,12.0072,0.6612,2.56254,0.98054,0.01134,0.41944,0.31981,0.25597,0.60968,3.3826,0.88272,0.000178087,0.000178087,0.000178087
21,12.4973,0.64323,2.45224,1.03808,0.01429,0.48889,0.34,0.27511,0.65719,3.27,0.90516,0.0001868,0.0001868,0.0001868
22,13.0514,0.61002,2.29971,0.9935,0.01429,0.48889,0.34,0.27511,0.65719,3.27,0.90516,0.000195447,0.000195447,0.000195447
23,13.7264,0.62597,2.2889,0.96214,0.85324,0.31095,0.36942,0.2995,0.68507,3.12116,0.92274,0.000204028,0.000204028,0.000204028
24,14.2698,0.64467,1.96218,1.02738,0.85324,0.31095,0.36942,0.2995,0.68507,3.12116,0.92274,0.000212543,0.000212543,0.000212543
25,14.7954,0.61598,2.0235,0.97432,1,0.09834,0.41194,0.33033,0.74789,2.99453,0.95514,0.000220992,0.000220992,0.000220992
26,15.3591,0.64125,1.79255,0.95191,1,0.09834,0.41194,0.33033,0.74789,2.99453,0.95514,0.000229375,0.000229375,0.000229375
27,15.9742,0.663,1.90875,0.98153,1,0.14142,0.43755,0.34273,0.7672,2.89561,0.96039,0.000237692,0.000237692,0.000237692
28,16.5159,0.62593,1.58269,0.96632,1,0.14142,0.43755,0.34273,0.7672,2.89561,0.96039,0.000245943,0.000245943,0.000245943
29,17.0916,0.60655,1.6608,0.94094,0.96218,0.06667,0.44344,0.3493,0.79018,2.84963,0.92825,0.000254128,0.000254128,0.000254128
