epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.64162,1.0727,3.72941,1.21715,0.00604,0.35,0.02534,0.01662,0.66477,3.67906,0.96017,0,0,0
2,2.18413,1.01776,3.6085,1.26772,0.00613,0.35,0.02662,0.01703,0.66293,3.67968,0.96053,9.901e-06,9.901e-06,9.901e-06
3,2.7058,0.93752,3.76498,1.14839,0.00627,0.35,0.02468,0.01621,0.66503,3.67427,0.96556,1.9604e-05,1.9604e-05,1.9604e-05
4,3.19718,1.00885,3.76713,1.22878,0.00631,0.35,0.02928,0.02137,0.66814,3.67455,0.96771,2.9109e-05,2.9109e-05,2.9109e-05
5,3.62041,1.06225,3.74393,1.22252,0.00628,0.35,0.03008,0.02011,0.61719,3.6764,0.94611,3.8416e-05,3.8416e-05,3.8416e-05
6,4.20122,0.89533,3.69535,1.16622,0.0057,0.31667,0.02906,0.02122,0.57456,3.683,0.93585,4.7525e-05,4.7525e-05,4.7525e-05
7,4.71019,0.85014,3.5946,1.1511,0.00511,0.28889,0.03746,0.02706,0.57941,3.6844,0.93801,5.6436e-05,5.6436e-05,5.6436e-05
8,5.20956,0.79016,3.57121,1.10165,0.00596,0.31667,0.05136,0.03488,0.59798,3.68322,0.93182,6.5149e-05,6.5149e-05,6.5149e-05
9,5.72937,0.79885,3.61426,1.11636,0.00596,0.28333,0.0612,0.04452,0.62705,3.68138,0.94142,7.3664e-05,7.3664e-05,7.3664e-05
10,6.25911,0.77709,3.52175,1.06157,0.00612,0.28333,0.07763,0.06398,0.69666,3.70361,0.98619,8.1981e-05,8.1981e-05,8.1981e-05
11,6.9215,0.71348,3.42654,1.0229,0.00658,0.28333,0.12505,0.09126,0.76921,3.70433,0.99383,9.01e-05,9.01e-05,9.01e-05
12,7.55258,0.69245,3.2472,1.03786,0.0068,0.28333,0.16264,0.11851,0.78028,3.69337,0.99684,9.8021e-05,9.8021e-05,9.8021e-05
13,8.21124,0.65151,3.2048,1.02582,0.00712,0.28333,0.19394,0.15033,0.70393,3.65921,0.97959,0.000105744,0.000105744,0.000105744
14,9.15211,0.71689,3.1421,1.02605,0.00805,0.31667,0.24363,0.19419,0.70021,3.62221,0.96402,0.000113269,0.000113269,0.000113269
15,9.97952,0.8249,2.95867,1.10395,0.00824,0.31667,0.25737,0.20913,0.61696,3.58862,0.93177,0.000120596,0.000120596,0.000120596
16,10.5036,0.67435,2.88402,0.98697,0.00839,0.31667,0.28021,0.23128,0.58862,3.55344,0.91955,0.000127725,0.000127725,0.000127725
17,10.9944,0.6893,2.80395,0.99355,0.01057,0.38611,0.29338,0.23784,0.59236,3.49635,0.91481,0.000134656,0.000134656,0.000134656
18,11.631,0.65748,2.59565,1.01376,0.01057,0.38611,0.29338,0.23784,0.59236,3.49635,0.91481,0.000141389,0.000141389,0.000141389
19,12.2465,0.70504,2.80564,1.01997,0.01144,0.38611,0.30489,0.25025,0.62717,3.41048,0.92633,0.000147924,0.000147924,0.000147924
20,12.7344,0.66204,2.63376,0.98022,0.01144,0.38611,0.30489,0.25025,0.62717,3.41048,0.92633,0.000154261,0.000154261,0.000154261
21,13.373,0.61445,2.51935,1.01533,0.01331,0.41944,0.32171,0.26167,0.65572,3.31007,0.95309,0.0001604,0.0001604,0.0001604
22,13.8421,0.60681,2.389,0.99994,0.01331,0.41944,0.32171,0.26167,0.65572,3.31007,0.95309,0.000166341,0.000166341,0.000166341
23,14.6007,0.61395,2.37264,0.9473,0.01841,0.55833,0.33445,0.27436,0.68757,3.18819,0.96395,0.000172084,0.000172084,0.000172084
24,15.3072,0.69277,2.04992,1.06152,0.01841,0.55833,0.33445,0.27436,0.68757,3.18819,0.96395,0.000177629,0.000177629,0.000177629
25,15.8816,0.60657,2.13456,0.97212,0.97954,0.20484,0.38212,0.31552,0.73412,3.06336,0.98345,0.000182976,0.000182976,0.000182976
26,16.5257,0.62771,1.87847,0.94265,0.97954,0.20484,0.38212,0.31552,0.73412,3.06336,0.98345,0.000188125,0.000188125,0.000188125
27,17.0899,0.66475,2.00126,0.98115,1,0.09385,0.41299,0.34227,0.77627,2.95685,0.97697,0.000193076,0.000193076,0.000193076
28,17.5695,0.62415,1.64122,0.96676,1,0.09385,0.41299,0.34227,0.77627,2.95685,0.97697,0.000197829,0.000197829,0.000197829
29,18.0991,0.61941,1.79966,0.95353,1,0.09762,0.41851,0.34935,0.80832,2.86267,0.95574,0.000202384,0.000202384,0.000202384
30,18.6403,0.60818,1.84636,0.98029,1,0.09762,0.41851,0.34935,0.80832,2.86267,0.95574,0.000206741,0.000206741,0.000206741
31,19.2656,0.64523,1.78129,0.93446,1,0.09494,0.45859,0.36427,0.78474,2.78915,0.94763,0.0002109,0.0002109,0.0002109
32,19.8659,0.62411,1.6185,0.99813,1,0.09494,0.45859,0.36427,0.78474,2.78915,0.94763,0.000214861,0.000214861,0.000214861
33,20.4997,0.57391,1.63816,0.94458,0.83294,0.28814,0.47203,0.37388,0.74798,2.74562,0.93549,0.000218624,0.000218624,0.000218624
34,20.9917,0.60393,1.51779,0.97093,0.83294,0.28814,0.47203,0.37388,0.74798,2.74562,0.93549,0.000222189,0.000222189,0.000222189
35,21.5399,0.59717,1.38493,0.92557,0.96576,0.18761,0.53739,0.41628,0.71568,2.73975,0.92783,0.000225556,0.000225556,0.000225556
36,22.0751,0.58242,1.58886,0.99255,0.96576,0.18761,0.53739,0.41628,0.71568,2.73975,0.92783,0.000228725,0.000228725,0.000228725
37,22.6601,0.66384,1.34611,1.0034,0.95256,0.23996,0.6293,0.49504,0.66952,2.7333,0.92853,0.000231696,0.000231696,0.000231696
38,23.1639,0.60727,1.35605,0.96693,0.95256,0.23996,0.6293,0.49504,0.66952,2.7333,0.92853,0.000234469,0.000234469,0.000234469
39,23.8345,0.62929,1.56592,0.9986,0.96752,0.17013,0.66498,0.51917,0.67491,2.66266,0.94127,0.000237044,0.000237044,0.000237044
40,24.307,0.46327,1.37076,0.94817,0.96752,0.17013,0.66498,0.51917,0.67491,2.66266,0.94127,0.000239421,0.000239421,0.000239421
41,25.0136,0.59367,1.40542,0.964,1,0.16434,0.62104,0.50149,0.71137,2.54631,0.95348,0.0002416,0.0002416,0.0002416
42,25.4271,0.5471,1.25656,0.92732,1,0.16434,0.62104,0.50149,0.71137,2.54631,0.95348,0.000243581,0.000243581,0.000243581
43,26.0489,0.62914,1.30032,0.97486,0.99623,0.16667,0.61281,0.49128,0.70261,2.47501,0.94553,0.000245364,0.000245364,0.000245364
44,26.7116,0.57272,1.22177,0.94603,0.99623,0.16667,0.61281,0.49128,0.70261,2.47501,0.94553,0.000246949,0.000246949,0.000246949
45,27.3319,0.52784,1.17692,0.96307,0.98264,0.16667,0.60797,0.4987,0.70262,2.35558,0.96614,0.000248336,0.000248336,0.000248336
46,27.8067,0.52408,1.12202,0.96674,0.98264,0.16667,0.60797,0.4987,0.70262,2.35558,0.96614,0.000249525,0.000249525,0.000249525
47,28.4243,0.63754,1.27566,0.9848,0.98517,0.19861,0.66846,0.54952,0.68802,2.33529,0.96555,0.000250516,0.000250516,0.000250516
48,28.9267,0.55093,1.16714,0.94783,0.98517,0.19861,0.66846,0.54952,0.68802,2.33529,0.96555,0.000251309,0.000251309,0.000251309
49,29.8178,0.57886,1.15377,0.96936,1,0.24879,0.70665,0.58065,0.69736,2.31007,0.96047,0.000251904,0.000251904,0.000251904
50,30.4346,0.497,1.06526,0.92379,1,0.24879,0.70665,0.58065,0.69736,2.31007,0.96047,0.000252301,0.000252301,0.000252301
51,31.0759,0.56217,1.05981,0.9736,1,0.27474,0.70665,0.57067,0.67848,2.25209,0.94792,0.0002525,0.0002525,0.0002525
52,31.5909,0.49549,1.02194,0.92226,1,0.27474,0.70665,0.57067,0.67848,2.25209,0.94792,0.000252501,0.000252501,0.000252501
53,32.1128,0.52955,0.97835,0.93331,1,0.27474,0.70665,0.57067,0.67848,2.25209,0.94792,0.000252304,0.000252304,0.000252304
54,32.7171,0.50756,0.94571,0.91858,0.97205,0.36101,0.72203,0.59864,0.64534,2.10637,0.93113,0.000251909,0.000251909,0.000251909
55,33.2137,0.54241,0.99475,0.95039,0.97205,0.36101,0.72203,0.59864,0.64534,2.10637,0.93113,0.000251316,0.000251316,0.000251316
56,33.7834,0.5291,0.95628,0.93319,0.97205,0.36101,0.72203,0.59864,0.64534,2.10637,0.93113,0.000250525,0.000250525,0.000250525
57,34.2998,0.55642,1.00313,0.94431,0.95572,0.42948,0.70487,0.58954,0.58049,1.90461,0.90346,0.000249536,0.000249536,0.000249536
58,34.8495,0.54718,1.04111,0.9533,0.95572,0.42948,0.70487,0.58954,0.58049,1.90461,0.90346,0.000248349,0.000248349,0.000248349
59,35.3948,0.50984,0.96613,0.88137,0.95572,0.42948,0.70487,0.58954,0.58049,1.90461,0.90346,0.000246964,0.000246964,0.000246964
60,35.8624,0.50176,0.93919,0.94539,0.94708,0.45416,0.70885,0.59506,0.55904,1.79406,0.88779,0.000245381,0.000245381,0.000245381
61,36.3015,0.47133,0.92893,0.93698,0.94708,0.45416,0.70885,0.59506,0.55904,1.79406,0.88779,0.0002436,0.0002436,0.0002436
62,36.8118,0.51244,1.0226,0.95612,0.94708,0.45416,0.70885,0.59506,0.55904,1.79406,0.88779,0.000241621,0.000241621,0.000241621
63,37.2542,0.54931,0.98462,0.91043,0.93143,0.55569,0.70007,0.59511,0.51993,1.63336,0.88078,0.000239444,0.000239444,0.000239444
64,37.828,0.5803,1.02892,1.04018,0.93143,0.55569,0.70007,0.59511,0.51993,1.63336,0.88078,0.000237069,0.000237069,0.000237069
65,38.345,0.46842,0.88205,0.9108,0.93143,0.55569,0.70007,0.59511,0.51993,1.63336,0.88078,0.000234496,0.000234496,0.000234496
66,38.8949,0.51391,0.96017,0.93033,0.92082,0.58774,0.70237,0.6195,0.48388,1.55309,0.86516,0.000231725,0.000231725,0.000231725
67,39.3437,0.48253,0.83542,0.89292,0.92082,0.58774,0.70237,0.6195,0.48388,1.55309,0.86516,0.000228756,0.000228756,0.000228756
68,39.9947,0.51513,0.87832,0.91257,0.92082,0.58774,0.70237,0.6195,0.48388,1.55309,0.86516,0.000225589,0.000225589,0.000225589
69,40.6551,0.48817,0.91645,0.91577,0.90591,0.60912,0.72664,0.64962,0.48565,1.53615,0.87496,0.000222224,0.000222224,0.000222224
70,41.3056,0.55644,0.93484,0.99273,0.90591,0.60912,0.72664,0.64962,0.48565,1.53615,0.87496,0.000218661,0.000218661,0.000218661
71,41.9886,0.45703,0.7981,0.91187,0.90591,0.60912,0.72664,0.64962,0.48565,1.53615,0.87496,0.0002149,0.0002149,0.0002149
72,42.5838,0.48864,0.83909,0.92121,0.89281,0.61849,0.73112,0.65653,0.49842,1.51278,0.90104,0.000210941,0.000210941,0.000210941
73,43.2065,0.44341,0.81228,0.89121,0.89281,0.61849,0.73112,0.65653,0.49842,1.51278,0.90104,0.000206784,0.000206784,0.000206784
74,43.7824,0.53259,1.07574,1.01646,0.89281,0.61849,0.73112,0.65653,0.49842,1.51278,0.90104,0.000202429,0.000202429,0.000202429
75,44.2943,0.46676,0.82492,0.92191,0.88542,0.625,0.73112,0.65214,0.48063,1.48537,0.91547,0.000197876,0.000197876,0.000197876
76,44.9179,0.42562,0.83287,0.92027,0.88542,0.625,0.73112,0.65214,0.48063,1.48537,0.91547,0.000193125,0.000193125,0.000193125
77,45.6578,0.47687,0.80693,0.91395,0.88542,0.625,0.73112,0.65214,0.48063,1.48537,0.91547,0.000188176,0.000188176,0.000188176
78,46.4705,0.44257,0.81198,0.90881,0.87679,0.625,0.75862,0.68218,0.46971,1.45023,0.92055,0.000183029,0.000183029,0.000183029
79,47.0333,0.42175,0.74997,0.89158,0.87679,0.625,0.75862,0.68218,0.46971,1.45023,0.92055,0.000177684,0.000177684,0.000177684
80,47.6131,0.46565,0.77719,0.90247,0.87679,0.625,0.75862,0.68218,0.46971,1.45023,0.92055,0.000172141,0.000172141,0.000172141
81,48.1936,0.43211,0.78329,0.91211,0.86983,0.625,0.76047,0.69492,0.46734,1.41392,0.92249,0.0001664,0.0001664,0.0001664
