epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.914198,1.0727,3.72941,1.21715,0.00604,0.35,0.02534,0.01662,0.66477,3.67906,0.96017,0,0,0
2,1.39234,1.01776,3.6085,1.26772,0.00613,0.35,0.02662,0.01703,0.66293,3.67968,0.96053,9.967e-06,9.967e-06,9.967e-06
3,1.87713,0.93752,3.76498,1.14839,0.00627,0.35,0.02468,0.01621,0.66503,3.67427,0.96556,1.9868e-05,1.9868e-05,1.9868e-05
4,2.30911,1.00885,3.76713,1.22878,0.00631,0.35,0.02928,0.02137,0.66814,3.67455,0.96771,2.9703e-05,2.9703e-05,2.9703e-05
