epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.406,1.0727,3.72941,1.21715,0.00604,0.35,0.02534,0.01662,0.66477,3.67906,0.96017,0,0,0
2,1.99768,1.01776,3.6085,1.26772,0.00613,0.35,0.02662,0.01703,0.66293,3.67968,0.96053,9.97525e-06,9.97525e-06,9.97525e-06
3,2.57347,0.93752,3.76498,1.14839,0.00627,0.35,0.02468,0.01621,0.66503,3.67427,0.96556,1.9901e-05,1.9901e-05,1.9901e-05
4,2.97177,1.00885,3.76713,1.22878,0.00631,0.35,0.02928,0.02137,0.66814,3.67455,0.96771,2.97773e-05,2.97773e-05,2.97773e-05
5,3.54542,1.06225,3.74393,1.22252,0.00629,0.35,0.03202,0.02116,0.61575,3.67524,0.94573,3.9604e-05,3.9604e-05,3.9604e-05
6,4.07948,0.89436,3.6953,1.16589,0.00567,0.31667,0.02954,0.02094,0.57767,3.68577,0.93507,4.93813e-05,4.93813e-05,4.93813e-05
7,4.72603,0.84557,3.59285,1.15038,0.00507,0.28889,0.03629,0.02604,0.58582,3.68383,0.93509,5.9109e-05,5.9109e-05,5.9109e-05
8,5.34748,0.78879,3.56517,1.10036,0.00609,0.31667,0.04571,0.03208,0.59789,3.68744,0.93373,6.87873e-05,6.87873e-05,6.87873e-05
9,5.97473,0.80429,3.60891,1.11811,0.00602,0.28333,0.0686,0.05273,0.64397,3.68322,0.94224,7.8416e-05,7.8416e-05,7.8416e-05
10,6.73545,0.77406,3.51373,1.06163,0.00623,0.28333,0.08733,0.06842,0.69987,3.69269,0.96685,8.79953e-05,8.79953e-05,8.79953e-05
11,7.2195,0.72654,3.41711,1.02401,0.00653,0.28333,0.12286,0.09419,0.7441,3.68278,0.96488,9.7525e-05,9.7525e-05,9.7525e-05
12,7.80347,0.70264,3.22227,1.03574,0.00683,0.28333,0.15148,0.11531,0.70973,3.66726,0.95477,0.000107005,0.000107005,0.000107005
13,8.36471,0.65555,3.16403,1.02314,0.0072,0.28333,0.20687,0.15587,0.68546,3.64309,0.94432,0.000116436,0.000116436,0.000116436
14,9.06177,0.7086,3.10546,1.0214,0.00876,0.35833,0.23438,0.18503,0.67386,3.61454,0.92983,0.000125817,0.000125817,0.000125817
15,9.76806,0.79905,2.90719,1.09278,0.00912,0.35833,0.26502,0.20468,0.63485,3.57707,0.90121,0.000135149,0.000135149,0.000135149
16,10.2884,0.66179,2.82369,0.98143,0.00973,0.35833,0.28248,0.22605,0.60127,3.53391,0.89495,0.000144431,0.000144431,0.000144431
17,10.9679,0.68097,2.73276,0.98166,0.0108,0.38611,0.2882,0.22961,0.59293,3.47841,0.89479,0.000153664,0.000153664,0.000153664
18,11.6742,0.62974,2.5083,0.99331,0.0108,0.38611,0.2882,0.22961,0.59293,3.47841,0.89479,0.000162847,0.000162847,0.000162847
19,12.3278,0.67632,2.71743,1.00825,0.01165,0.38611,0.30202,0.24298,0.61791,3.38224,0.91904,0.000171981,0.000171981,0.000171981
20,12.8193,0.66135,2.53987,0.97587,0.01165,0.38611,0.30202,0.24298,0.61791,3.38224,0.91904,0.000181065,0.000181065,0.000181065
21,13.4661,0.61593,2.41613,1.01941,0.01614,0.48889,0.33122,0.26552,0.65213,3.23724,0.9656,0.0001901,0.0001901,0.0001901
22,13.9606,0.60195,2.28348,0.9917,0.01614,0.48889,0.33122,0.26552,0.65213,3.23724,0.9656,0.000199085,0.000199085,0.000199085
23,14.6903,0.60917,2.2451,0.95003,0.11845,0.40556,0.35166,0.29672,0.68007,3.09311,0.96564,0.000208021,0.000208021,0.000208021
24,15.3179,0.66169,1.91388,1.04113,0.11845,0.40556,0.35166,0.29672,0.68007,3.09311,0.96564,0.000216907,0.000216907,0.000216907
25,15.9744,0.59725,1.9701,0.96035,1,0.09587,0.38756,0.32375,0.73627,2.97723,0.96499,0.000225744,0.000225744,0.000225744
26,16.5351,0.61794,1.73449,0.93608,1,0.09587,0.38756,0.32375,0.73627,2.97723,0.96499,0.000234531,0.000234531,0.000234531
27,17.0753,0.66217,1.86455,0.97997,1,0.11501,0.45095,0.35488,0.73038,2.86277,0.95109,0.000243269,0.000243269,0.000243269
28,17.6818,0.60296,1.47601,0.95336,1,0.11501,0.45095,0.35488,0.73038,2.86277,0.95109,0.000251957,0.000251957,0.000251957
29,18.3407,0.61154,1.63542,0.94905,0.95366,0.06667,0.43951,0.36712,0.75374,2.80821,0.91875,0.000260596,0.000260596,0.000260596
30,18.9144,0.60622,1.66391,0.97379,0.95366,0.06667,0.43951,0.36712,0.75374,2.80821,0.91875,0.000269185,0.000269185,0.000269185
31,19.4168,0.6442,1.59011,0.93893,0.89315,0.21878,0.52855,0.41188,0.74561,2.79732,0.92259,0.000277725,0.000277725,0.000277725
32,20.0037,0.64865,1.48577,1.00564,0.89315,0.21878,0.52855,0.41188,0.74561,2.79732,0.92259,0.000286215,0.000286215,0.000286215
33,20.8464,0.58896,1.45423,0.95394,0.03706,0.79167,0.58087,0.46292,0.69569,2.81452,0.91221,0.000294656,0.000294656,0.000294656
34,21.5556,0.57433,1.38708,0.96309,0.03706,0.79167,0.58087,0.46292,0.69569,2.81452,0.91221,0.000303047,0.000303047,0.000303047
35,22.091,0.59063,1.24969,0.92929,0.04346,0.79167,0.63067,0.48449,0.66081,2.84649,0.92732,0.000311389,0.000311389,0.000311389
36,22.7352,0.55837,1.44108,0.98828,0.04346,0.79167,0.63067,0.48449,0.66081,2.84649,0.92732,0.000319681,0.000319681,0.000319681
37,23.3554,0.64453,1.22343,0.99315,0.05363,0.79167,0.61342,0.47685,0.72063,2.91534,0.96861,0.000327924,0.000327924,0.000327924
