epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.63799,1.0727,3.72941,1.21715,0.00604,0.35,0.02534,0.01662,0.66477,3.67906,0.96017,0,0,0
2,6.3147,1.01776,3.6085,1.26772,0.00613,0.35,0.02662,0.01703,0.66293,3.67968,0.96053,9.9505e-06,9.9505e-06,9.9505e-06
3,6.85144,0.93752,3.76498,1.14839,0.00627,0.35,0.02468,0.01621,0.66503,3.67427,0.96556,1.9802e-05,1.9802e-05,1.9802e-05
4,7.38066,1.00885,3.76713,1.22878,0.00631,0.35,0.02928,0.02137,0.66814,3.67455,0.96771,2.95545e-05,2.95545e-05,2.95545e-05
5,8.18391,1.06225,3.74393,1.22252,0.0063,0.35,0.03174,0.02091,0.61557,3.67598,0.94566,3.9208e-05,3.9208e-05,3.9208e-05
6,8.79585,0.89425,3.69524,1.16562,0.00569,0.31667,0.0301,0.02162,0.57567,3.68439,0.93363,4.87625e-05,4.87625e-05,4.87625e-05
7,9.34801,0.8463,3.59408,1.15091,0.00509,0.28889,0.03779,0.02768,0.5805,3.68617,0.93364,5.8218e-05,5.8218e-05,5.8218e-05
8,9.96697,0.78645,3.56881,1.10056,0.00602,0.31667,0.04545,0.03225,0.60089,3.68343,0.9325,6.75745e-05,6.75745e-05,6.75745e-05
9,10.4837,0.80141,3.6116,1.11683,0.00604,0.28333,0.07741,0.05611,0.65499,3.69317,0.94299,7.6832e-05,7.6832e-05,7.6832e-05
10,11.1563,0.78174,3.51926,1.06319,0.00614,0.28333,0.08294,0.06113,0.70994,3.71921,0.98169,8.59905e-05,8.59905e-05,8.59905e-05
11,11.7196,0.72384,3.42183,1.02355,0.00658,0.28333,0.12469,0.08818,0.76666,3.72568,0.98778,9.505e-05,9.505e-05,9.505e-05
12,12.3167,0.70202,3.23517,1.03639,0.00696,0.28333,0.15402,0.10626,0.78816,3.72055,1.00287,0.00010401,0.00010401,0.00010401
13,12.8457,0.65547,3.18406,1.02086,0.00738,0.28333,0.17118,0.12381,0.76233,3.69736,0.99799,0.000112872,0.000112872,0.000112872
14,13.3869,0.70733,3.11887,1.0202,0.00754,0.28333,0.19052,0.14507,0.69618,3.68324,0.98348,0.000121635,0.000121635,0.000121635
15,14.2264,0.82398,2.92398,1.10623,0.00805,0.31667,0.20565,0.15374,0.67684,3.63119,0.95495,0.000130298,0.000130298,0.000130298
16,14.7667,0.68507,2.85212,0.99331,0.00928,0.35833,0.21363,0.17045,0.59139,3.59079,0.92359,0.000138863,0.000138863,0.000138863
17,15.486,0.68791,2.76052,0.97992,0.01041,0.4,0.2382,0.19661,0.56743,3.5205,0.90235,0.000147328,0.000147328,0.000147328
18,16.0372,0.64018,2.54811,0.99886,0.01041,0.4,0.2382,0.19661,0.56743,3.5205,0.90235,0.000155695,0.000155695,0.000155695
19,16.6015,0.70201,2.75946,1.01189,0.01107,0.4,0.24803,0.20821,0.58429,3.43942,0.88693,0.000163962,0.000163962,0.000163962
20,17.8234,0.65106,2.57044,0.97275,0.01107,0.4,0.24803,0.20821,0.58429,3.43942,0.88693,0.000172131,0.000172131,0.000172131
21,19.3355,0.6324,2.45786,1.02227,0.01459,0.46111,0.29663,0.2341,0.63321,3.33721,0.9033,0.0001802,0.0001802,0.0001802
22,20.047,0.62896,2.30955,1.01221,0.01459,0.46111,0.29663,0.2341,0.63321,3.33721,0.9033,0.00018817,0.00018817,0.00018817
23,20.7009,0.62122,2.29884,0.95673,0.01945,0.55833,0.35522,0.26429,0.70116,3.18404,0.94134,0.000196042,0.000196042,0.000196042
24,21.3139,0.67287,1.92837,1.04947,0.01945,0.55833,0.35522,0.26429,0.70116,3.18404,0.94134,0.000203815,0.000203815,0.000203815
25,21.9761,0.62452,2.03591,0.97814,1,0.16226,0.39554,0.32204,0.79367,3.06624,0.99184,0.000211488,0.000211488,0.000211488
26,22.5635,0.64666,1.79502,0.94352,1,0.16226,0.39554,0.32204,0.79367,3.06624,0.99184,0.000219062,0.000219062,0.000219062
27,23.2666,0.66483,1.91126,0.98023,1,0.11525,0.47258,0.36597,0.82712,2.96761,0.98002,0.000226538,0.000226538,0.000226538
28,23.7478,0.60675,1.55622,0.9632,1,0.11525,0.47258,0.36597,0.82712,2.96761,0.98002,0.000233914,0.000233914,0.000233914
29,24.4909,0.61331,1.72117,0.95258,1,0.09992,0.47962,0.37642,0.81279,2.89444,0.93175,0.000241192,0.000241192,0.000241192
30,24.95,0.60762,1.74618,0.9726,1,0.09992,0.47962,0.37642,0.81279,2.89444,0.93175,0.00024837,0.00024837,0.00024837
31,25.5433,0.64427,1.65829,0.93021,0.96434,0.17601,0.47476,0.36626,0.80853,2.80479,0.92472,0.00025545,0.00025545,0.00025545
32,26.1467,0.65585,1.56522,1.01121,0.96434,0.17601,0.47476,0.36626,0.80853,2.80479,0.92472,0.000262431,0.000262431,0.000262431
33,26.7023,0.58022,1.54155,0.94435,0.96201,0.15701,0.49978,0.40868,0.76624,2.73733,0.91465,0.000269312,0.000269312,0.000269312
