epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,24.991,0.43474,1.23144,0.86054,1,0.12405,0.51154,0.4285,0.60947,2.66086,0.88906,8.32e-05,8.32e-05,8.32e-05
42,25.4952,0.46533,1.55257,0.89737,1,0.12405,0.51154,0.4285,0.60947,2.66086,0.88906,7.7162e-05,7.7162e-05,7.7162e-05
43,26.2314,0.46968,1.43436,0.90362,1,0.12833,0.53272,0.44985,0.60063,2.58415,0.90104,7.0728e-05,7.0728e-05,7.0728e-05
44,26.775,0.42617,1.37064,0.88029,1,0.12833,0.53272,0.44985,0.60063,2.58415,0.90104,6.3898e-05,6.3898e-05,6.3898e-05
45,27.3935,0.46178,1.36137,0.89447,1,0.1812,0.55172,0.47594,0.57264,2.52682,0.89071,5.6672e-05,5.6672e-05,5.6672e-05
46,27.8826,0.43382,1.19551,0.83831,1,0.1812,0.55172,0.47594,0.57264,2.52682,0.89071,4.905e-05,4.905e-05,4.905e-05
47,28.5459,0.41545,1.29395,0.86463,0.98582,0.23515,0.56388,0.49753,0.55279,2.4785,0.88135,4.1032e-05,4.1032e-05,4.1032e-05
48,29.0754,0.45384,1.39194,0.93321,0.98582,0.23515,0.56388,0.49753,0.55279,2.4785,0.88135,3.2618e-05,3.2618e-05,3.2618e-05
49,29.5969,0.47769,1.35006,0.92273,0.97824,0.28085,0.57944,0.51232,0.54178,2.42288,0.8753,2.3808e-05,2.3808e-05,2.3808e-05
50,30.1867,0.4285,1.29562,0.89349,0.97824,0.28085,0.57944,0.51232,0.54178,2.42288,0.8753,1.4602e-05,1.4602e-05,1.4602e-05
